Date,Store,Category,Units Sold,Unit Price,Discount %,Revenue
2025-11-06,Pune,Electronics,11.0,8488.87,5.0,88708.73
2024-05-03,Pune,Groceries,6.0,375.13,5.0,2138.21
2025-10-25,Delhi,Electronics,7.0,6803.91,0.0,47627.39
2024-09-15,Bangalore,Groceries,9.0,217.65,5.0,1860.91
2024-05-06,Chennai,Beauty,5.0,519.48,15.0,2207.8
2025-04-09,Delhi,Groceries,13.0,453.51,0.0,5895.59
2024-12-28,Mumbai,Clothing,4.0,1235.72,0.0,4942.86
2024-09-02,Chennai,Beauty,6.0,602.38,15.0,3072.14
2024-01-16,Chennai,Groceries,4.0,371.36,25.0,1114.08
2025-07-31,Delhi,Beauty,7.0,597.49,10.0,3764.21
2025-03-13,Mumbai,Electronics,7.0,7704.1,5.0,51232.28
2024-09-11,Pune,Home & Kitchen,5.0,1922.01,20.0,7688.02
2025-06-12,Mumbai,Electronics,5.0,6137.54,15.0,26084.56
2025-10-16,Bangalore,Clothing,10.0,1542.93,5.0,14657.79
2025-11-20,Chennai,Groceries,14.0,396.95,0.0,5557.32
2024-10-20,Mumbai,Electronics,5.0,7950.22,0.0,39751.09
2025-03-31,Chennai,Groceries,2.0,382.68,0.0,765.36
2025-12-26,Delhi,Clothing,6.0,1064.51,15.0,5429.0
2025-05-08,Mumbai,Electronics,9.0,7996.12,15.0,61170.33
2024-05-08,Chennai,Groceries,10.0,403.2,25.0,3023.97
2025-01-22,Mumbai,Groceries,4.0,220.1,10.0,792.36
2024-10-14,Chennai,Electronics,11.0,11486.41,0.0,126350.53
2024-12-23,Delhi,Electronics,14.0,10640.38,10.0,134068.77
2025-05-20,Delhi,Clothing,10.0,1443.56,0.0,14435.63
2025-01-05,Chennai,Home & Kitchen,5.0,1778.85,0.0,8894.24
2024-08-10,Pune,Groceries,3.0,265.06,5.0,755.42
2025-03-11,Delhi,Electronics,7.0,8894.07,0.0,62258.5
2025-03-30,Pune,Groceries,8.0,404.18,5.0,3071.79
2024-03-24,Bangalore,Groceries,8.0,388.14,5.0,2949.87
2024-05-23,Mumbai,Sports,3.0,2366.32,5.0,6744.03
2024-11-30,Pune,Groceries,11.0,441.26,15.0,4125.82
2024-05-03,Mumbai,Electronics,11.0,9995.9,10.0,98959.37
2025-02-25,Mumbai,Groceries,4.0,342.78,10.0,1234.01
2024-09-18,Mumbai,Electronics,6.0,7824.22,25.0,35208.99
2024-01-11,Delhi,Electronics,6.0,4591.42,0.0,27548.5
2024-12-02,Pune,Home & Kitchen,8.0,2134.39,20.0,13660.1
2025-06-05,Chennai,Beauty,5.0,675.92,5.0,3210.63
2024-02-15,Delhi,Groceries,2.0,532.55,0.0,1065.1
2025-11-23,Mumbai,Electronics,10.0,6746.4,10.0,60717.57
2024-12-10,Bangalore,Groceries,9.0,406.56,10.0,3293.15
2025-06-25,Bangalore,Groceries,5.0,350.81,10.0,1578.64
2025-12-31,Bangalore,Electronics,6.0,9692.82,10.0,52341.22
2024-04-06,Delhi,Electronics,6.0,4517.05,5.0,25747.16
2025-05-19,Bangalore,Electronics,9.0,8024.16,25.0,54163.05
2024-06-17,Bangalore,Electronics,3.0,5128.98,0.0,15386.94
2024-04-01,Delhi,Sports,6.0,2825.09,20.0,13560.45
2025-12-22,Delhi,Groceries,12.0,245.54,0.0,2946.48
2025-08-27,Delhi,Groceries,3.0,354.36,25.0,797.32
2025-12-22,Mumbai,Groceries,7.0,351.36,10.0,2213.56
2025-11-20,Pune,Sports,13.0,1875.96,15.0,20729.33
2024-05-04,Pune,Sports,9.0,2386.54,10.0,19330.99
2024-02-22,Mumbai,Clothing,8.0,1238.43,0.0,9907.44
2024-09-07,Bangalore,Groceries,7.0,303.55,5.0,2018.64
2024-10-04,Mumbai,Sports,11.0,2675.39,0.0,29429.26
2024-04-10,Pune,Groceries,10.0,274.71,10.0,2472.36
2024-07-28,Chennai,Groceries,5.0,391.68,0.0,1958.4
2024-12-03,Mumbai,Groceries,10.0,240.96,20.0,1927.69
2025-03-01,Chennai,Home & Kitchen,6.0,2331.69,0.0,13990.12
2024-12-25,Mumbai,Beauty,5.0,435.45,0.0,2177.24
2024-04-24,Chennai,Clothing,9.0,1419.08,20.0,10217.38
2025-11-13,Pune,Home & Kitchen,12.0,1745.18,5.0,19895.05
2024-10-19,Pune,Electronics,5.0,11279.08,0.0,56395.38
2024-11-13,Mumbai,Clothing,7.0,1173.67,10.0,7394.14
2024-10-30,Mumbai,Groceries,7.0,382.28,0.0,2675.99
2024-12-08,Mumbai,Groceries,7.0,314.81,15.0,1873.14
2025-04-29,Pune,Sports,4.0,1801.59,25.0,5404.78
2025-02-10,Pune,Clothing,10.0,1071.24,10.0,9641.2
2024-10-19,Bangalore,Electronics,5.0,9694.29,15.0,41200.71
2025-01-24,Mumbai,Electronics,11.0,10158.63,0.0,111744.93
2024-09-29,Mumbai,Electronics,9.0,10769.01,0.0,96921.13
2025-12-17,Delhi,Home & Kitchen,9.0,1691.3,10.0,13699.52
2025-02-22,Delhi,Groceries,7.0,393.15,5.0,2614.48
2024-12-01,Pune,Sports,11.0,1903.36,5.0,19890.14
2024-11-05,Mumbai,Groceries,9.0,377.85,0.0,3400.65
2025-04-05,Chennai,Groceries,9.0,349.97,0.0,3149.73
2025-07-29,Delhi,Beauty,6.0,522.49,0.0,3134.96
2024-09-04,Delhi,Clothing,3.0,1326.67,5.0,3781.01
2025-06-12,Mumbai,Electronics,5.0,4957.56,20.0,19830.25
2024-01-19,Pune,Beauty,3.0,732.35,10.0,1977.35
2025-07-09,Mumbai,Beauty,4.0,749.88,0.0,2999.54
2025-06-21,Delhi,Home & Kitchen,6.0,1597.15,15.0,8145.47
2024-08-14,Pune,Electronics,4.0,10723.11,10.0,38603.19
2024-08-31,Mumbai,Sports,5.0,1958.57,25.0,7344.64
2025-07-12,Delhi,Groceries,4.0,420.05,10.0,1512.17
2025-04-01,Bangalore,Electronics,14.0,10676.89,5.0,142002.61
2024-06-18,Mumbai,Groceries,11.0,344.83,10.0,3413.78
2025-04-29,Pune,Clothing,10.0,887.52,10.0,7987.66
2025-09-03,Delhi,Electronics,4.0,8949.3,0.0,35797.19
2025-02-03,Chennai,Clothing,5.0,1517.4,0.0,7587.01
2025-12-20,Bangalore,Home & Kitchen,4.0,1745.89,5.0,6634.37
2024-08-06,Chennai,Groceries,4.0,407.21,0.0,1628.83
2024-07-03,Delhi,Home & Kitchen,6.0,1942.07,15.0,9904.55
2024-05-09,Pune,Beauty,10.0,725.38,15.0,6165.7
2025-09-09,Pune,Groceries,11.0,191.01,10.0,1890.95
2024-03-07,Mumbai,Home & Kitchen,7.0,2323.73,0.0,16266.13
2025-09-23,Mumbai,Electronics,6.0,10729.34,10.0,57938.44
2024-10-24,Bangalore,Groceries,1.0,356.03,0.0,356.03
2025-07-09,Bangalore,Electronics,6.0,9199.65,10.0,49678.09
2024-12-03,Bangalore,Sports,7.0,1857.2,10.0,11700.36
2025-06-03,Mumbai,Electronics,7.0,9250.53,15.0,55040.67
2025-09-11,Chennai,Groceries,7.0,207.91,0.0,1455.37
2025-02-01,Chennai,Clothing,7.0,1323.96,20.0,7414.17
2024-08-14,Delhi,Electronics,3.0,7019.59,5.0,20005.82
2025-02-07,Chennai,Sports,5.0,2168.57,15.0,9216.44
2025-06-07,Mumbai,Groceries,6.0,341.77,0.0,2050.65
2025-06-28,Pune,Electronics,7.0,9199.24,0.0,64394.68
2024-10-07,Bangalore,Clothing,7.0,1122.75,10.0,7073.34
2024-05-08,Chennai,Electronics,6.0,11646.13,10.0,62889.09
2025-03-03,Delhi,Electronics,4.0,8013.5,0.0,32054.02
2024-03-25,Mumbai,Clothing,3.0,1089.67,10.0,2942.1
2025-01-15,Bangalore,Clothing,5.0,989.17,10.0,4451.25
2025-06-29,Pune,Home & Kitchen,9.0,1805.41,5.0,15436.27
2024-09-10,Chennai,Beauty,2.0,619.8,0.0,1239.61
2025-06-06,Delhi,Sports,3.0,1965.21,5.0,5600.85
2024-10-23,Mumbai,Electronics,14.0,9081.27,5.0,120780.91
2024-10-08,Chennai,Sports,13.0,2711.73,10.0,31727.19
2024-12-31,Pune,Groceries,8.0,333.39,10.0,2400.44
2025-12-10,Delhi,Clothing,2.0,1285.41,0.0,2570.82
2024-09-02,Mumbai,Groceries,4.0,307.28,5.0,1167.66
2025-11-22,Pune,Electronics,8.0,10242.95,0.0,81943.58
2025-09-15,Bangalore,Groceries,4.0,387.44,15.0,1317.3
2025-09-21,Mumbai,Clothing,5.0,1269.28,0.0,6346.39
2024-02-10,Pune,Groceries,4.0,318.89,10.0,1148.02
2024-04-18,Mumbai,Home & Kitchen,10.0,2137.56,0.0,21375.63
2025-01-08,Chennai,Clothing,8.0,1247.06,10.0,8978.8
2024-07-07,Delhi,Sports,6.0,2722.51,5.0,15518.33
2025-05-04,Pune,Groceries,6.0,406.31,0.0,2437.83
2024-12-17,Bangalore,Clothing,10.0,982.78,0.0,9827.75
2024-10-15,Bangalore,Electronics,4.0,7980.23,15.0,27132.77
2025-09-28,Mumbai,Clothing,8.0,1439.21,5.0,10937.97
2024-07-15,Delhi,Clothing,4.0,1818.27,20.0,5818.46
2025-02-23,Delhi,Groceries,12.0,228.61,5.0,2606.17
2025-12-29,Pune,Groceries,5.0,402.96,15.0,1712.57
2024-10-18,Chennai,Sports,7.0,1641.71,10.0,10342.75
2024-01-08,Bangalore,Groceries,3.0,306.46,5.0,873.42
2025-09-03,Delhi,Beauty,5.0,524.06,10.0,2358.28
2025-07-05,Bangalore,Groceries,10.0,258.09,0.0,2580.92
2025-05-09,Mumbai,Electronics,9.0,8923.89,15.0,68267.76
2024-01-29,Bangalore,Home & Kitchen,10.0,2217.0,0.0,22170.03
2024-07-25,Mumbai,Electronics,7.0,9735.09,5.0,64738.32
2024-11-04,Bangalore,Home & Kitchen,3.0,1733.7,5.0,4941.04
2025-05-04,Delhi,Sports,4.0,1158.17,10.0,4169.4
2024-04-19,Mumbai,Beauty,7.0,575.37,5.0,3826.23
2024-11-10,Delhi,Groceries,14.0,263.57,15.0,3136.44
2025-09-29,Bangalore,Groceries,5.0,330.99,5.0,1572.21
2024-08-12,Bangalore,Home & Kitchen,8.0,1074.85,5.0,8168.85
2025-06-30,Delhi,Beauty,6.0,655.4,10.0,3539.16
2024-11-04,Bangalore,Groceries,4.0,334.52,5.0,1271.16
2024-07-30,Pune,Groceries,4.0,348.82,10.0,1255.74
2024-08-30,Pune,Beauty,6.0,727.49,5.0,4146.69
2025-03-12,Bangalore,Groceries,7.0,351.41,10.0,2213.89
2025-09-21,Pune,Groceries,3.0,426.73,10.0,1152.17
2024-10-07,Delhi,Groceries,12.0,408.24,0.0,4898.92
2025-03-15,Pune,Clothing,2.0,1329.51,10.0,2393.13
2025-04-07,Mumbai,Clothing,6.0,993.92,10.0,5367.18
2025-08-18,Pune,Groceries,6.0,291.3,5.0,1660.41
2025-12-14,Chennai,Electronics,8.0,8489.72,0.0,67917.78
2024-05-26,Mumbai,Groceries,1.0,502.86,20.0,402.29
2024-09-25,Bangalore,Clothing,4.0,1477.13,5.0,5613.11
2024-12-05,Pune,Electronics,16.0,8034.75,0.0,128556.03
2024-12-24,Delhi,Groceries,15.0,349.93,10.0,4724.03
2024-07-09,Chennai,Groceries,5.0,328.93,20.0,1315.72
2024-09-19,Delhi,Beauty,10.0,660.89,0.0,6608.93
2024-07-16,Mumbai,Electronics,9.0,6990.05,0.0,62910.48
2024-07-09,Mumbai,Groceries,4.0,419.17,20.0,1341.34
2024-05-04,Chennai,Groceries,3.0,429.82,10.0,1160.5
2024-03-11,Bangalore,Sports,5.0,2781.44,0.0,13907.19
2025-05-10,Bangalore,Groceries,9.0,396.65,0.0,3569.86
2025-03-06,Bangalore,Electronics,5.0,7046.02,25.0,26422.57
2025-05-20,Pune,Groceries,10.0,233.91,0.0,2339.08
2025-04-02,Mumbai,Electronics,10.0,7520.92,0.0,75209.16
2024-08-02,Mumbai,Sports,9.0,2150.83,10.0,17421.68
2025-04-26,Delhi,Groceries,7.0,329.77,0.0,2308.41
2024-05-19,Pune,Electronics,3.0,6537.03,15.0,16669.42
2025-05-11,Pune,Clothing,4.0,743.62,15.0,2528.3
2025-01-23,Mumbai,Groceries,6.0,418.69,0.0,2512.12
2024-09-12,Pune,Sports,7.0,2136.35,25.0,11215.82
2024-01-23,Mumbai,Groceries,5.0,464.38,15.0,1973.61
2025-02-26,Delhi,Home & Kitchen,8.0,2346.99,5.0,17837.16
2024-07-27,Bangalore,Sports,6.0,1799.77,0.0,10798.64
2024-12-15,Bangalore,Sports,8.0,3353.54,10.0,24145.5
2024-03-08,Pune,Sports,13.0,1831.24,25.0,17854.54
2024-12-31,Pune,Clothing,8.0,1435.08,10.0,10332.55
2024-09-22,Mumbai,Clothing,11.0,1231.03,20.0,10833.1
2024-09-11,Chennai,Groceries,6.0,280.91,0.0,1685.48
2024-04-05,Delhi,Home & Kitchen,7.0,1814.56,15.0,10796.63
2025-07-04,Bangalore,Clothing,4.0,1202.82,15.0,4089.6
2024-06-14,Bangalore,Clothing,5.0,977.56,0.0,4887.82
2024-05-12,Chennai,Clothing,6.0,730.01,15.0,3723.03
2025-04-25,Bangalore,Electronics,8.0,8313.39,0.0,66507.13
2024-06-29,Mumbai,Electronics,8.0,10333.08,20.0,66131.74
2025-01-27,Chennai,Groceries,8.0,274.31,0.0,2194.49
2024-11-20,Bangalore,Electronics,4.0,8315.53,5.0,31599.02
2025-10-16,Bangalore,Electronics,11.0,5200.28,15.0,48622.62
2024-01-11,Mumbai,Clothing,8.0,865.77,5.0,6579.84
2024-12-13,Bangalore,Electronics,9.0,9243.91,5.0,79035.42
2025-08-30,Mumbai,Clothing,8.0,1062.36,15.0,7224.06
2025-10-05,Mumbai,Electronics,7.0,7380.6,5.0,49080.97
2024-09-28,Bangalore,Home & Kitchen,7.0,997.7,0.0,6983.9
2025-08-04,Chennai,Electronics,7.0,9009.5,10.0,56759.88
2024-10-05,Delhi,Electronics,9.0,10139.28,0.0,91253.54
2025-04-24,Delhi,Clothing,6.0,1056.42,0.0,6338.52
2024-12-01,Delhi,Sports,5.0,2567.04,20.0,10268.16
2024-03-31,Pune,Beauty,9.0,726.57,20.0,5231.31
2025-12-27,Chennai,Beauty,7.0,1001.81,15.0,5960.76
2024-05-10,Delhi,Electronics,6.0,10827.34,5.0,61715.85
2024-06-01,Mumbai,Clothing,5.0,1439.32,5.0,6836.75
2025-11-24,Pune,Beauty,7.0,715.81,5.0,4760.15
2025-08-28,Delhi,Sports,6.0,2011.72,20.0,9656.25
2024-09-30,Chennai,Clothing,3.0,983.44,0.0,2950.31
2024-10-15,Chennai,Groceries,10.0,350.35,0.0,3503.45
2025-09-19,Delhi,Sports,6.0,2265.75,15.0,11555.33
2025-03-29,Mumbai,Electronics,6.0,6104.41,5.0,34795.16
2024-12-12,Delhi,Sports,13.0,2482.79,10.0,29048.7
2024-08-10,Chennai,Groceries,4.0,398.79,15.0,1355.89
2024-08-01,Pune,Home & Kitchen,8.0,1677.03,0.0,13416.26
2024-04-29,Bangalore,Home & Kitchen,12.0,1715.11,0.0,20581.35
2024-07-03,Chennai,Home & Kitchen,10.0,1384.06,25.0,10380.42
2024-11-11,Delhi,Electronics,,8073.74,0.0,64589.91
2024-03-07,Mumbai,Home & Kitchen,4.0,1780.39,0.0,7121.57
2024-11-28,Mumbai,Clothing,6.0,1521.16,10.0,8214.24
2024-07-22,Mumbai,Beauty,5.0,956.15,0.0,4780.74
2024-06-17,Bangalore,Beauty,1.0,604.75,5.0,574.51
2024-04-28,Mumbai,Groceries,4.0,336.29,0.0,1345.16
2024-02-20,Pune,Beauty,13.0,604.41,0.0,7857.31
2025-10-06,Pune,Home & Kitchen,5.0,2039.1,5.0,9685.74
2025-06-01,Bangalore,Groceries,7.0,402.86,0.0,2819.99
2025-05-08,Chennai,Groceries,5.0,331.75,0.0,1658.75
2025-02-28,Chennai,Home & Kitchen,6.0,1639.54,0.0,9837.26
2024-10-14,Delhi,Clothing,10.0,1711.94,10.0,15407.5
2025-10-13,Mumbai,Groceries,7.0,368.16,10.0,2319.41
2024-05-26,Mumbai,Clothing,6.0,1289.32,5.0,7349.13
2024-11-02,Delhi,Groceries,5.0,434.46,20.0,1737.82
2025-07-30,Bangalore,Home & Kitchen,7.0,1996.72,10.0,12579.36
2025-05-04,Bangalore,Groceries,9.0,147.61,10.0,1195.65
2024-05-24,Pune,Clothing,7.0,901.28,20.0,5047.16
2024-04-18,Mumbai,Groceries,7.0,335.94,20.0,1881.27
2024-10-08,Bangalore,Sports,6.0,1797.64,0.0,10785.83
2024-11-14,Mumbai,Clothing,11.0,1203.86,5.0,12580.37
2024-06-06,Mumbai,Home & Kitchen,7.0,2222.2,5.0,14777.65
2025-10-11,Mumbai,Home & Kitchen,6.0,2135.63,10.0,11532.4
2024-01-03,Pune,Home & Kitchen,5.0,765.42,5.0,3635.73
2024-04-19,Delhi,Clothing,3.0,1217.57,0.0,3652.7
2025-08-06,Delhi,Sports,5.0,2437.66,5.0,11578.89
2024-12-02,Mumbai,Groceries,6.0,288.75,0.0,1732.48
2024-11-11,Delhi,Electronics,7.0,10664.36,0.0,74650.5
2025-08-27,Bangalore,Clothing,6.0,1067.94,15.0,5446.49
2025-03-24,Chennai,Groceries,10.0,435.85,0.0,4358.53
2025-10-11,Pune,Beauty,5.0,728.37,0.0,3641.83
2025-04-03,Pune,Groceries,8.0,321.51,0.0,2572.12
2025-11-09,Mumbai,Electronics,10.0,7802.8,20.0,62422.43
2025-07-13,Mumbai,Groceries,5.0,375.79,10.0,1691.04
2025-06-18,Bangalore,Sports,9.0,1881.61,15.0,14394.3
2024-10-06,Mumbai,Groceries,11.0,227.9,0.0,2506.95
2025-07-11,Delhi,Clothing,6.0,831.63,0.0,4989.76
2024-08-14,Delhi,Groceries,5.0,327.33,0.0,1636.65
2024-03-22,Pune,Beauty,6.0,713.14,0.0,4278.85
2025-11-09,Chennai,Home & Kitchen,8.0,1247.54,20.0,7984.26
2024-02-18,Delhi,Groceries,6.0,425.51,15.0,2170.13
2024-07-22,Bangalore,Electronics,7.0,7758.05,0.0,54306.33
2024-12-05,Delhi,Sports,10.0,2077.96,0.0,20779.57
2024-07-22,Bangalore,Electronics,6.0,6903.56,15.0,35208.17
2025-12-16,Pune,Clothing,6.0,1027.02,10.0,5545.89
2025-04-07,Chennai,Home & Kitchen,9.0,2360.34,10.0,19118.79
2024-09-07,Delhi,Home & Kitchen,9.0,1127.19,5.0,9637.46
2025-01-03,Delhi,Home & Kitchen,6.0,1648.05,0.0,9888.3
2025-08-21,Bangalore,Electronics,4.0,9782.39,0.0,39129.57
2025-01-10,Bangalore,Sports,2.0,1348.12,0.0,2696.24
2024-12-09,Delhi,Home & Kitchen,6.0,1407.88,15.0,7180.17
2025-07-12,Delhi,Beauty,5.0,478.75,0.0,2393.73
2024-10-12,Bangalore,Groceries,9.0,251.82,0.0,2266.42
2024-06-06,Mumbai,Sports,5.0,1669.7,5.0,7931.05
2024-03-09,Bangalore,Electronics,7.0,9044.49,0.0,63311.4
2025-03-31,Mumbai,Groceries,16.0,333.51,10.0,4802.5
2024-02-19,Mumbai,Clothing,9.0,1241.39,5.0,10613.92
2024-12-24,Mumbai,Electronics,12.0,11145.13,5.0,127054.44
2025-10-01,Chennai,Electronics,10.0,10382.5,5.0,98633.8
2024-03-01,Delhi,Clothing,9.0,1077.49,25.0,7273.08
2025-01-14,Bangalore,Groceries,6.0,387.82,0.0,2326.9
2025-11-11,Mumbai,Clothing,10.0,1139.76,10.0,10257.85
2024-10-03,Mumbai,Electronics,7.0,6097.66,0.0,42683.62
2024-05-15,Pune,Sports,6.0,2683.5,10.0,14490.88
2024-10-11,Mumbai,Electronics,10.0,11941.58,0.0,119415.79
2024-04-25,Bangalore,Home & Kitchen,9.0,2229.09,10.0,18055.61
2025-03-01,Mumbai,Clothing,5.0,1216.62,5.0,5778.92
2025-12-22,Chennai,Clothing,5.0,1282.17,15.0,5449.21
2025-09-15,Pune,Electronics,5.0,5122.07,10.0,23049.3
2024-02-13,Bangalore,Clothing,3.0,1223.35,0.0,3670.05
2024-01-20,Bangalore,Clothing,8.0,1313.02,15.0,8928.51
2024-05-04,Mumbai,Electronics,5.0,8585.53,0.0,42927.66
2025-07-22,Mumbai,Clothing,2.0,1528.42,0.0,3056.85
2024-01-20,Bangalore,Electronics,8.0,8964.84,15.0,60960.92
2024-11-11,Mumbai,Home & Kitchen,4.0,2636.98,5.0,10020.52
2024-03-13,Pune,Clothing,11.0,1256.2,0.0,13818.25
2025-11-08,Mumbai,Beauty,6.0,892.06,15.0,4549.52
2025-04-08,Delhi,Electronics,6.0,6452.41,10.0,34843.04
2024-03-21,Delhi,Beauty,6.0,510.77,15.0,2604.9
2024-11-24,Delhi,Clothing,10.0,928.92,0.0,9289.25
2024-01-15,Mumbai,Groceries,3.0,260.27,0.0,780.8
2025-12-27,Bangalore,Electronics,11.0,8881.33,10.0,87925.18
2025-10-15,Delhi,Clothing,7.0,1298.74,5.0,8636.6
2025-10-06,Bangalore,Home & Kitchen,7.0,2114.08,5.0,14058.65
2024-09-10,Mumbai,Clothing,8.0,1130.8,15.0,7689.46
2025-02-20,Bangalore,Beauty,3.0,652.52,10.0,1761.79
2025-04-06,Mumbai,Home & Kitchen,9.0,1981.39,0.0,17832.51
2024-05-08,Delhi,Home & Kitchen,9.0,1548.94,15.0,11849.4
2025-05-14,Bangalore,Electronics,3.0,6902.63,20.0,16566.3
2024-01-29,Mumbai,Electronics,7.0,9033.92,5.0,60075.55
2025-06-24,Chennai,Home & Kitchen,4.0,2501.88,5.0,9507.14
2024-09-21,Delhi,Groceries,4.0,386.19,20.0,1235.82
2024-01-04,Bangalore,Home & Kitchen,4.0,1845.52,10.0,6643.86
2025-05-04,Delhi,Clothing,8.0,1200.56,20.0,7683.6
2024-03-29,Pune,Clothing,5.0,825.25,25.0,3094.67
2024-11-22,Mumbai,Home & Kitchen,9.0,1860.38,15.0,14231.88
2025-04-17,Pune,Clothing,10.0,1126.02,5.0,10697.18
2025-10-29,Mumbai,Home & Kitchen,9.0,1647.98,10.0,13348.66
2025-06-15,Bangalore,Groceries,7.0,277.63,10.0,1749.07
2024-01-29,Chennai,Home & Kitchen,4.0,1349.8,0.0,5399.19
2024-09-07,Mumbai,Home & Kitchen,8.0,1242.46,15.0,8448.73
2025-09-16,Pune,Electronics,5.0,7356.17,15.0,31263.74
2024-04-15,Chennai,Electronics,8.0,10686.29,5.0,81215.81
2024-05-26,Bangalore,Clothing,6.0,1622.31,0.0,9733.84
2024-03-12,Mumbai,Home & Kitchen,5.0,1683.98,25.0,6314.91
2025-03-07,Mumbai,Clothing,6.0,955.82,15.0,4874.69
