Date,Store,Category,Units Sold,Unit Price,Discount %,Revenue,Month,MonthName,Quarter,Weekday
2025-02-08,Mumbai,Clothing,4.0,1463.65,5.0,5561.87,2,Feb,1,Saturday
2024-10-30,Chennai,Clothing,9.0,990.2,0.0,8911.8,10,Oct,4,Wednesday
2025-05-09,Mumbai,Beauty,5.0,672.19,10.0,3024.86,5,May,2,Friday
2025-07-09,Bangalore,Electronics,7.0,10509.97,5.0,69891.3,7,Jul,3,Wednesday
2024-08-05,Mumbai,Sports,2.0,1681.46,10.0,3026.63,8,Aug,3,Monday
2024-08-22,Bangalore,Groceries,1.0,324.62,25.0,243.46,8,Aug,3,Thursday
2024-10-19,Mumbai,Electronics,3.0,5657.74,15.0,14427.24,10,Oct,4,Saturday
2025-05-12,Bangalore,Electronics,6.0,6291.99,5.0,35864.34,5,May,2,Monday
2024-11-17,Delhi,Home & Kitchen,7.0,1906.9,10.0,12013.47,11,Nov,4,Sunday
2025-10-04,Bangalore,Groceries,9.0,442.68,5.0,3784.91,10,Oct,4,Saturday
2024-06-22,Mumbai,Groceries,7.0,315.85,5.0,2100.4,6,Jun,2,Saturday
2025-02-12,Pune,Sports,4.0,2551.86,10.0,9186.7,2,Feb,1,Wednesday
2024-09-29,Bangalore,Electronics,9.0,6981.9,5.0,59695.24,9,Sep,3,Sunday
2024-06-10,Chennai,Clothing,4.0,1218.99,10.0,4388.36,6,Jun,2,Monday
2024-03-26,Mumbai,Electronics,8.0,10704.18,5.0,81351.77,3,Mar,1,Tuesday
2025-10-18,Delhi,Beauty,9.0,511.86,10.0,4146.07,10,Oct,4,Saturday
2025-08-08,Pune,Home & Kitchen,5.0,1551.63,15.0,6594.43,8,Aug,3,Friday
2024-07-02,Mumbai,Sports,8.0,1997.94,10.0,14385.17,7,Jul,3,Tuesday
2024-05-14,Mumbai,Groceries,6.0,340.86,0.0,2045.16,5,May,2,Tuesday
2024-05-04,Mumbai,Sports,8.0,2124.75,0.0,16998.0,5,May,2,Saturday
2024-09-13,Pune,Groceries,9.0,442.53,10.0,3584.49,9,Sep,3,Friday
2025-04-17,Pune,Groceries,9.0,225.68,0.0,2031.12,4,Apr,2,Thursday
2025-08-14,Pune,Groceries,5.0,372.58,5.0,1769.76,8,Aug,3,Thursday
2024-03-21,Delhi,Electronics,9.0,10175.49,0.0,91579.41,3,Mar,1,Thursday
2025-11-17,Delhi,Electronics,10.0,5991.65,10.0,53924.85,11,Nov,4,Monday
2025-11-06,Pune,Electronics,11.0,8488.87,5.0,88708.69,11,Nov,4,Thursday
2024-05-03,Pune,Groceries,6.0,375.13,5.0,2138.24,5,May,2,Friday
2025-10-25,Delhi,Electronics,7.0,6803.91,0.0,47627.37,10,Oct,4,Saturday
2024-09-15,Bangalore,Groceries,9.0,217.65,5.0,1860.91,9,Sep,3,Sunday
2024-05-06,Chennai,Beauty,5.0,519.48,15.0,2207.79,5,May,2,Monday
2025-04-09,Delhi,Groceries,13.0,453.51,0.0,5895.63,4,Apr,2,Wednesday
2024-12-28,Mumbai,Clothing,4.0,1235.72,0.0,4942.88,12,Dec,4,Saturday
2024-09-02,Chennai,Beauty,6.0,602.38,15.0,3072.14,9,Sep,3,Monday
2024-01-16,Chennai,Groceries,4.0,371.36,25.0,1114.08,1,Jan,1,Tuesday
2025-07-31,Delhi,Beauty,7.0,597.49,10.0,3764.19,7,Jul,3,Thursday
2025-03-13,Mumbai,Electronics,7.0,7704.1,5.0,51232.26,3,Mar,1,Thursday
2024-09-11,Pune,Home & Kitchen,5.0,1922.01,20.0,7688.04,9,Sep,3,Wednesday
2025-06-12,Mumbai,Electronics,5.0,6137.54,15.0,26084.54,6,Jun,2,Thursday
2025-10-16,Bangalore,Clothing,10.0,1542.93,5.0,14657.84,10,Oct,4,Thursday
2025-11-20,Chennai,Groceries,14.0,396.95,0.0,5557.3,11,Nov,4,Thursday
2024-10-20,Mumbai,Electronics,5.0,7950.22,0.0,39751.1,10,Oct,4,Sunday
2025-03-31,Chennai,Groceries,2.0,382.68,0.0,765.36,3,Mar,1,Monday
2025-12-26,Delhi,Clothing,6.0,1064.51,15.0,5429.0,12,Dec,4,Friday
2025-05-08,Mumbai,Electronics,9.0,7996.12,15.0,61170.32,5,May,2,Thursday
2024-05-08,Chennai,Groceries,10.0,403.2,25.0,3024.0,5,May,2,Wednesday
2025-01-22,Mumbai,Groceries,4.0,220.1,10.0,792.36,1,Jan,1,Wednesday
2024-10-14,Chennai,Electronics,11.0,11486.41,0.0,126350.51,10,Oct,4,Monday
2024-12-23,Delhi,Electronics,14.0,10640.38,10.0,134068.79,12,Dec,4,Monday
2025-05-20,Delhi,Clothing,10.0,1443.56,0.0,14435.6,5,May,2,Tuesday
2025-01-05,Chennai,Home & Kitchen,5.0,1778.85,0.0,8894.25,1,Jan,1,Sunday
2024-08-10,Pune,Groceries,3.0,265.06,5.0,755.42,8,Aug,3,Saturday
2025-03-11,Delhi,Electronics,7.0,8894.07,0.0,62258.49,3,Mar,1,Tuesday
2025-03-30,Pune,Groceries,8.0,404.18,5.0,3071.77,3,Mar,1,Sunday
2024-03-24,Bangalore,Groceries,8.0,388.14,5.0,2949.86,3,Mar,1,Sunday
2024-05-23,Mumbai,Sports,3.0,2366.32,5.0,6744.01,5,May,2,Thursday
2024-11-30,Pune,Groceries,11.0,441.26,15.0,4125.78,11,Nov,4,Saturday
2024-05-03,Mumbai,Electronics,11.0,9995.9,10.0,98959.41,5,May,2,Friday
2025-02-25,Mumbai,Groceries,4.0,342.78,10.0,1234.01,2,Feb,1,Tuesday
2024-09-18,Mumbai,Electronics,6.0,7824.22,25.0,35208.99,9,Sep,3,Wednesday
2024-01-11,Delhi,Electronics,6.0,4591.42,0.0,27548.52,1,Jan,1,Thursday
2024-12-02,Pune,Home & Kitchen,8.0,2134.39,20.0,13660.1,12,Dec,4,Monday
2025-06-05,Chennai,Beauty,5.0,675.92,5.0,3210.62,6,Jun,2,Thursday
2024-02-15,Delhi,Groceries,2.0,532.55,0.0,1065.1,2,Feb,1,Thursday
2025-11-23,Mumbai,Electronics,10.0,6746.4,10.0,60717.6,11,Nov,4,Sunday
2024-12-10,Bangalore,Groceries,9.0,406.56,10.0,3293.14,12,Dec,4,Tuesday
2025-06-25,Bangalore,Groceries,5.0,350.81,10.0,1578.64,6,Jun,2,Wednesday
2025-12-31,Bangalore,Electronics,6.0,9692.82,10.0,52341.23,12,Dec,4,Wednesday
2024-04-06,Delhi,Electronics,6.0,4517.05,5.0,25747.18,4,Apr,2,Saturday
2025-05-19,Bangalore,Electronics,9.0,8024.16,25.0,54163.08,5,May,2,Monday
2024-06-17,Bangalore,Electronics,3.0,5128.98,0.0,15386.94,6,Jun,2,Monday
2024-04-01,Delhi,Sports,6.0,2825.09,20.0,13560.43,4,Apr,2,Monday
2025-12-22,Delhi,Groceries,12.0,245.54,0.0,2946.48,12,Dec,4,Monday
2025-08-27,Delhi,Groceries,3.0,354.36,25.0,797.31,8,Aug,3,Wednesday
2025-12-22,Mumbai,Groceries,7.0,351.36,10.0,2213.57,12,Dec,4,Monday
2025-11-20,Pune,Sports,13.0,1875.96,15.0,20729.36,11,Nov,4,Thursday
2024-05-04,Pune,Sports,9.0,2386.54,10.0,19330.97,5,May,2,Saturday
2024-02-22,Mumbai,Clothing,8.0,1238.43,0.0,9907.44,2,Feb,1,Thursday
2024-09-07,Bangalore,Groceries,7.0,303.55,5.0,2018.61,9,Sep,3,Saturday
2024-10-04,Mumbai,Sports,11.0,2675.39,0.0,29429.29,10,Oct,4,Friday
2024-04-10,Pune,Groceries,10.0,274.71,10.0,2472.39,4,Apr,2,Wednesday
2024-07-28,Chennai,Groceries,5.0,391.68,0.0,1958.4,7,Jul,3,Sunday
2024-12-03,Mumbai,Groceries,10.0,240.96,20.0,1927.68,12,Dec,4,Tuesday
2025-03-01,Chennai,Home & Kitchen,6.0,2331.69,0.0,13990.14,3,Mar,1,Saturday
2024-12-25,Mumbai,Beauty,5.0,435.45,0.0,2177.25,12,Dec,4,Wednesday
2024-04-24,Chennai,Clothing,9.0,1419.08,20.0,10217.38,4,Apr,2,Wednesday
2025-11-13,Pune,Home & Kitchen,12.0,1745.18,5.0,19895.05,11,Nov,4,Thursday
2024-10-19,Pune,Electronics,5.0,11279.08,0.0,56395.4,10,Oct,4,Saturday
2024-11-13,Mumbai,Clothing,7.0,1173.67,10.0,7394.12,11,Nov,4,Wednesday
2024-10-30,Mumbai,Groceries,7.0,382.28,0.0,2675.96,10,Oct,4,Wednesday
2024-12-08,Mumbai,Groceries,7.0,314.81,15.0,1873.12,12,Dec,4,Sunday
2025-04-29,Pune,Sports,4.0,1801.59,25.0,5404.77,4,Apr,2,Tuesday
2025-02-10,Pune,Clothing,10.0,1071.24,10.0,9641.16,2,Feb,1,Monday
2024-10-19,Bangalore,Electronics,5.0,9694.29,15.0,41200.73,10,Oct,4,Saturday
2025-01-24,Mumbai,Electronics,11.0,10158.63,0.0,111744.93,1,Jan,1,Friday
2024-09-29,Mumbai,Electronics,9.0,10769.01,0.0,96921.09,9,Sep,3,Sunday
2025-12-17,Delhi,Home & Kitchen,9.0,1691.3,10.0,13699.53,12,Dec,4,Wednesday
2025-02-22,Delhi,Groceries,7.0,393.15,5.0,2614.45,2,Feb,1,Saturday
2024-12-01,Pune,Sports,11.0,1903.36,5.0,19890.11,12,Dec,4,Sunday
2024-11-05,Mumbai,Groceries,9.0,377.85,0.0,3400.65,11,Nov,4,Tuesday
2025-04-05,Chennai,Groceries,9.0,349.97,0.0,3149.73,4,Apr,2,Saturday
2025-07-29,Delhi,Beauty,6.0,522.49,0.0,3134.94,7,Jul,3,Tuesday
2024-09-04,Delhi,Clothing,3.0,1326.67,5.0,3781.01,9,Sep,3,Wednesday
2025-06-12,Mumbai,Electronics,5.0,4957.56,20.0,19830.24,6,Jun,2,Thursday
2024-01-19,Pune,Beauty,3.0,732.35,10.0,1977.35,1,Jan,1,Friday
2025-07-09,Mumbai,Beauty,4.0,749.88,0.0,2999.52,7,Jul,3,Wednesday
2025-06-21,Delhi,Home & Kitchen,6.0,1597.15,15.0,8145.47,6,Jun,2,Saturday
2024-08-14,Pune,Electronics,4.0,10723.11,10.0,38603.2,8,Aug,3,Wednesday
2024-08-31,Mumbai,Sports,5.0,1958.57,25.0,7344.64,8,Aug,3,Saturday
2025-07-12,Delhi,Groceries,4.0,420.05,10.0,1512.18,7,Jul,3,Saturday
2025-04-01,Bangalore,Electronics,14.0,10676.89,5.0,142002.64,4,Apr,2,Tuesday
2024-06-18,Mumbai,Groceries,11.0,344.83,10.0,3413.82,6,Jun,2,Tuesday
2025-04-29,Pune,Clothing,10.0,887.52,10.0,7987.68,4,Apr,2,Tuesday
2025-09-03,Delhi,Electronics,4.0,8949.3,0.0,35797.2,9,Sep,3,Wednesday
2025-02-03,Chennai,Clothing,5.0,1517.4,0.0,7587.0,2,Feb,1,Monday
2025-12-20,Bangalore,Home & Kitchen,4.0,1745.89,5.0,6634.38,12,Dec,4,Saturday
2024-08-06,Chennai,Groceries,4.0,407.21,0.0,1628.84,8,Aug,3,Tuesday
2024-07-03,Delhi,Home & Kitchen,6.0,1942.07,15.0,9904.56,7,Jul,3,Wednesday
2024-05-09,Pune,Beauty,10.0,725.38,15.0,6165.73,5,May,2,Thursday
2025-09-09,Pune,Groceries,11.0,191.01,10.0,1891.0,9,Sep,3,Tuesday
2024-03-07,Mumbai,Home & Kitchen,7.0,2323.73,0.0,16266.11,3,Mar,1,Thursday
2025-09-23,Mumbai,Electronics,6.0,10729.34,10.0,57938.44,9,Sep,3,Tuesday
2024-10-24,Bangalore,Groceries,1.0,356.03,0.0,356.03,10,Oct,4,Thursday
2025-07-09,Bangalore,Electronics,6.0,9199.65,10.0,49678.11,7,Jul,3,Wednesday
2024-12-03,Bangalore,Sports,7.0,1857.2,10.0,11700.36,12,Dec,4,Tuesday
2025-06-03,Mumbai,Electronics,7.0,9250.53,15.0,55040.65,6,Jun,2,Tuesday
2025-09-11,Chennai,Groceries,7.0,207.91,0.0,1455.37,9,Sep,3,Thursday
2025-02-01,Chennai,Clothing,7.0,1323.96,20.0,7414.18,2,Feb,1,Saturday
2024-08-14,Delhi,Electronics,3.0,7019.59,5.0,20005.83,8,Aug,3,Wednesday
2025-02-07,Chennai,Sports,5.0,2168.57,15.0,9216.42,2,Feb,1,Friday
2025-06-07,Mumbai,Groceries,6.0,341.77,0.0,2050.62,6,Jun,2,Saturday
2025-06-28,Pune,Electronics,7.0,9199.24,0.0,64394.68,6,Jun,2,Saturday
2024-10-07,Bangalore,Clothing,7.0,1122.75,10.0,7073.32,10,Oct,4,Monday
2024-05-08,Chennai,Electronics,6.0,11646.13,10.0,62889.1,5,May,2,Wednesday
2025-03-03,Delhi,Electronics,4.0,8013.5,0.0,32054.0,3,Mar,1,Monday
2024-03-25,Mumbai,Clothing,3.0,1089.67,10.0,2942.11,3,Mar,1,Monday
2025-01-15,Bangalore,Clothing,5.0,989.17,10.0,4451.26,1,Jan,1,Wednesday
2025-06-29,Pune,Home & Kitchen,9.0,1805.41,5.0,15436.26,6,Jun,2,Sunday
2024-09-10,Chennai,Beauty,2.0,619.8,0.0,1239.6,9,Sep,3,Tuesday
2025-06-06,Delhi,Sports,3.0,1965.21,5.0,5600.85,6,Jun,2,Friday
2024-10-23,Mumbai,Electronics,14.0,9081.27,5.0,120780.89,10,Oct,4,Wednesday
2024-10-08,Chennai,Sports,13.0,2711.73,10.0,31727.24,10,Oct,4,Tuesday
2024-12-31,Pune,Groceries,8.0,333.39,10.0,2400.41,12,Dec,4,Tuesday
2025-12-10,Delhi,Clothing,2.0,1285.41,0.0,2570.82,12,Dec,4,Wednesday
2024-09-02,Mumbai,Groceries,4.0,307.28,5.0,1167.66,9,Sep,3,Monday
2025-11-22,Pune,Electronics,8.0,10242.95,0.0,81943.6,11,Nov,4,Saturday
2025-09-15,Bangalore,Groceries,4.0,387.44,15.0,1317.3,9,Sep,3,Monday
2025-09-21,Mumbai,Clothing,5.0,1269.28,0.0,6346.4,9,Sep,3,Sunday
2024-02-10,Pune,Groceries,4.0,318.89,10.0,1148.0,2,Feb,1,Saturday
2024-04-18,Mumbai,Home & Kitchen,10.0,2137.56,0.0,21375.6,4,Apr,2,Thursday
2025-01-08,Chennai,Clothing,8.0,1247.06,10.0,8978.83,1,Jan,1,Wednesday
2024-07-07,Delhi,Sports,6.0,2722.51,5.0,15518.31,7,Jul,3,Sunday
2025-05-04,Pune,Groceries,6.0,406.31,0.0,2437.86,5,May,2,Sunday
2024-12-17,Bangalore,Clothing,10.0,982.78,0.0,9827.8,12,Dec,4,Tuesday
2024-10-15,Bangalore,Electronics,4.0,7980.23,15.0,27132.78,10,Oct,4,Tuesday
2025-09-28,Mumbai,Clothing,8.0,1439.21,5.0,10938.0,9,Sep,3,Sunday
2024-07-15,Delhi,Clothing,4.0,1818.27,20.0,5818.46,7,Jul,3,Monday
2025-02-23,Delhi,Groceries,12.0,228.61,5.0,2606.15,2,Feb,1,Sunday
2025-12-29,Pune,Groceries,5.0,402.96,15.0,1712.58,12,Dec,4,Monday
2024-10-18,Chennai,Sports,7.0,1641.71,10.0,10342.77,10,Oct,4,Friday
2024-01-08,Bangalore,Groceries,3.0,306.46,5.0,873.41,1,Jan,1,Monday
2025-09-03,Delhi,Beauty,5.0,524.06,10.0,2358.27,9,Sep,3,Wednesday
2025-07-05,Bangalore,Groceries,10.0,258.09,0.0,2580.9,7,Jul,3,Saturday
2025-05-09,Mumbai,Electronics,9.0,8923.89,15.0,68267.76,5,May,2,Friday
2024-01-29,Bangalore,Home & Kitchen,10.0,2217.0,0.0,22170.0,1,Jan,1,Monday
2024-07-25,Mumbai,Electronics,7.0,9735.09,5.0,64738.35,7,Jul,3,Thursday
2024-11-04,Bangalore,Home & Kitchen,3.0,1733.7,5.0,4941.04,11,Nov,4,Monday
2025-05-04,Delhi,Sports,4.0,1158.17,10.0,4169.41,5,May,2,Sunday
2024-04-19,Mumbai,Beauty,7.0,575.37,5.0,3826.21,4,Apr,2,Friday
2024-11-10,Delhi,Groceries,14.0,263.57,15.0,3136.48,11,Nov,4,Sunday
2025-09-29,Bangalore,Groceries,5.0,330.99,5.0,1572.2,9,Sep,3,Monday
2024-08-12,Bangalore,Home & Kitchen,8.0,1074.85,5.0,8168.86,8,Aug,3,Monday
2025-06-30,Delhi,Beauty,6.0,655.4,10.0,3539.16,6,Jun,2,Monday
2024-11-04,Bangalore,Groceries,4.0,334.52,5.0,1271.18,11,Nov,4,Monday
2024-07-30,Pune,Groceries,4.0,348.82,10.0,1255.75,7,Jul,3,Tuesday
2024-08-30,Pune,Beauty,6.0,727.49,5.0,4146.69,8,Aug,3,Friday
2025-03-12,Bangalore,Groceries,7.0,351.41,10.0,2213.88,3,Mar,1,Wednesday
2025-09-21,Pune,Groceries,3.0,426.73,10.0,1152.17,9,Sep,3,Sunday
2024-10-07,Delhi,Groceries,12.0,408.24,0.0,4898.88,10,Oct,4,Monday
2025-03-15,Pune,Clothing,2.0,1329.51,10.0,2393.12,3,Mar,1,Saturday
2025-04-07,Mumbai,Clothing,6.0,993.92,10.0,5367.17,4,Apr,2,Monday
2025-08-18,Pune,Groceries,6.0,291.3,5.0,1660.41,8,Aug,3,Monday
2025-12-14,Chennai,Electronics,8.0,8489.72,0.0,67917.76,12,Dec,4,Sunday
2024-05-26,Mumbai,Groceries,1.0,502.86,20.0,402.29,5,May,2,Sunday
2024-09-25,Bangalore,Clothing,4.0,1477.13,5.0,5613.09,9,Sep,3,Wednesday
2024-12-05,Pune,Electronics,16.0,8034.75,0.0,128556.0,12,Dec,4,Thursday
2024-12-24,Delhi,Groceries,15.0,349.93,10.0,4724.06,12,Dec,4,Tuesday
2024-07-09,Chennai,Groceries,5.0,328.93,20.0,1315.72,7,Jul,3,Tuesday
2024-09-19,Delhi,Beauty,10.0,660.89,0.0,6608.9,9,Sep,3,Thursday
2024-07-16,Mumbai,Electronics,9.0,6990.05,0.0,62910.45,7,Jul,3,Tuesday
2024-07-09,Mumbai,Groceries,4.0,419.17,20.0,1341.34,7,Jul,3,Tuesday
2024-05-04,Chennai,Groceries,3.0,429.82,10.0,1160.51,5,May,2,Saturday
2024-03-11,Bangalore,Sports,5.0,2781.44,0.0,13907.2,3,Mar,1,Monday
2025-05-10,Bangalore,Groceries,9.0,396.65,0.0,3569.85,5,May,2,Saturday
2025-03-06,Bangalore,Electronics,5.0,7046.02,25.0,26422.58,3,Mar,1,Thursday
2025-05-20,Pune,Groceries,10.0,233.91,0.0,2339.1,5,May,2,Tuesday
2025-04-02,Mumbai,Electronics,10.0,7520.92,0.0,75209.2,4,Apr,2,Wednesday
2024-08-02,Mumbai,Sports,9.0,2150.83,10.0,17421.72,8,Aug,3,Friday
2025-04-26,Delhi,Groceries,7.0,329.77,0.0,2308.39,4,Apr,2,Saturday
2024-05-19,Pune,Electronics,3.0,6537.03,15.0,16669.43,5,May,2,Sunday
2025-05-11,Pune,Clothing,4.0,743.62,15.0,2528.31,5,May,2,Sunday
2025-01-23,Mumbai,Groceries,6.0,418.69,0.0,2512.14,1,Jan,1,Thursday
2024-09-12,Pune,Sports,7.0,2136.35,25.0,11215.84,9,Sep,3,Thursday
2024-01-23,Mumbai,Groceries,5.0,464.38,15.0,1973.62,1,Jan,1,Tuesday
2025-02-26,Delhi,Home & Kitchen,8.0,2346.99,5.0,17837.12,2,Feb,1,Wednesday
2024-07-27,Bangalore,Sports,6.0,1799.77,0.0,10798.62,7,Jul,3,Saturday
2024-12-15,Bangalore,Sports,8.0,3353.54,10.0,24145.49,12,Dec,4,Sunday
2024-03-08,Pune,Sports,13.0,1831.24,25.0,17854.59,3,Mar,1,Friday
2024-12-31,Pune,Clothing,8.0,1435.08,10.0,10332.58,12,Dec,4,Tuesday
2024-09-22,Mumbai,Clothing,11.0,1231.03,20.0,10833.06,9,Sep,3,Sunday
2024-09-11,Chennai,Groceries,6.0,280.91,0.0,1685.46,9,Sep,3,Wednesday
2024-04-05,Delhi,Home & Kitchen,7.0,1814.56,15.0,10796.63,4,Apr,2,Friday
2025-07-04,Bangalore,Clothing,4.0,1202.82,15.0,4089.59,7,Jul,3,Friday
2024-06-14,Bangalore,Clothing,5.0,977.56,0.0,4887.8,6,Jun,2,Friday
2024-05-12,Chennai,Clothing,6.0,730.01,15.0,3723.05,5,May,2,Sunday
2025-04-25,Bangalore,Electronics,8.0,8313.39,0.0,66507.12,4,Apr,2,Friday
2024-06-29,Mumbai,Electronics,8.0,10333.08,20.0,66131.71,6,Jun,2,Saturday
2025-01-27,Chennai,Groceries,8.0,274.31,0.0,2194.48,1,Jan,1,Monday
2024-11-20,Bangalore,Electronics,4.0,8315.53,5.0,31599.01,11,Nov,4,Wednesday
2025-10-16,Bangalore,Electronics,11.0,5200.28,15.0,48622.62,10,Oct,4,Thursday
2024-01-11,Mumbai,Clothing,8.0,865.77,5.0,6579.85,1,Jan,1,Thursday
2024-12-13,Bangalore,Electronics,9.0,9243.91,5.0,79035.43,12,Dec,4,Friday
2025-08-30,Mumbai,Clothing,8.0,1062.36,15.0,7224.05,8,Aug,3,Saturday
2025-10-05,Mumbai,Electronics,7.0,7380.6,5.0,49080.99,10,Oct,4,Sunday
2024-09-28,Bangalore,Home & Kitchen,7.0,997.7,0.0,6983.9,9,Sep,3,Saturday
2025-08-04,Chennai,Electronics,7.0,9009.5,10.0,56759.85,8,Aug,3,Monday
2024-10-05,Delhi,Electronics,9.0,10139.28,0.0,91253.52,10,Oct,4,Saturday
2025-04-24,Delhi,Clothing,6.0,1056.42,0.0,6338.52,4,Apr,2,Thursday
2024-12-01,Delhi,Sports,5.0,2567.04,20.0,10268.16,12,Dec,4,Sunday
2024-03-31,Pune,Beauty,9.0,726.57,20.0,5231.3,3,Mar,1,Sunday
2025-12-27,Chennai,Beauty,7.0,1001.81,15.0,5960.77,12,Dec,4,Saturday
2024-05-10,Delhi,Electronics,6.0,10827.34,5.0,61715.84,5,May,2,Friday
2024-06-01,Mumbai,Clothing,5.0,1439.32,5.0,6836.77,6,Jun,2,Saturday
2025-11-24,Pune,Beauty,7.0,715.81,5.0,4760.14,11,Nov,4,Monday
2025-08-28,Delhi,Sports,6.0,2011.72,20.0,9656.26,8,Aug,3,Thursday
2024-09-30,Chennai,Clothing,3.0,983.44,0.0,2950.32,9,Sep,3,Monday
2024-10-15,Chennai,Groceries,10.0,350.35,0.0,3503.5,10,Oct,4,Tuesday
2025-09-19,Delhi,Sports,6.0,2265.75,15.0,11555.32,9,Sep,3,Friday
2025-03-29,Mumbai,Electronics,6.0,6104.41,5.0,34795.14,3,Mar,1,Saturday
2024-12-12,Delhi,Sports,13.0,2482.79,10.0,29048.64,12,Dec,4,Thursday
2024-08-10,Chennai,Groceries,4.0,398.79,15.0,1355.89,8,Aug,3,Saturday
2024-08-01,Pune,Home & Kitchen,8.0,1677.03,0.0,13416.24,8,Aug,3,Thursday
2024-04-29,Bangalore,Home & Kitchen,12.0,1715.11,0.0,20581.32,4,Apr,2,Monday
2024-07-03,Chennai,Home & Kitchen,10.0,1384.06,25.0,10380.45,7,Jul,3,Wednesday
2024-11-11,Delhi,Electronics,7.0,8073.74,0.0,56516.18,11,Nov,4,Monday
